ID	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62
22	0	4	10	13	11	1	0	0	2	13	10	4	8	8	0	0	6	13	4	9	15	4	0	0	4	16	16	16	13	0	0	0	0	12	11	1	8	8	0	0	12	4	0	7	8	0	0	0	12	8	8	14	0	0	0	0	6	13	11	1	0	0
23	0	3	11	13	14	6	0	0	0	12	9	3	0	0	0	0	2	14	0	0	0	0	0	0	8	10	6	12	12	2	0	0	7	16	13	6	14	8	0	0	0	0	1	14	1	0	0	0	1	4	11	6	0	0	0	0	3	13	10	0	0	0
24	0	1	4	11	13	7	0	0	2	14	12	10	16	5	0	0	7	14	6	14	12	0	0	0	2	12	11	10	15	1	0	0	0	0	0	0	16	4	0	0	0	0	3	16	3	0	0	0	0	0	10	11	0	0	0	0	0	1	14	3	0	0
25	0	9	13	1	0	0	0	0	0	8	16	6	0	0	0	0	0	7	16	10	0	0	0	0	0	13	16	10	0	0	0	0	0	9	16	14	0	0	0	0	0	7	16	5	0	0	0	0	3	9	16	13	8	5	0	0	4	15	16	16	16	16
26	0	9	16	11	0	0	0	0	4	16	13	16	4	0	0	0	0	9	3	13	9	0	0	0	0	0	0	16	8	0	0	0	0	0	3	16	4	0	0	0	0	12	15	1	0	0	0	0	6	16	16	15	11	1	0	0	10	16	9	9	13	6
27	0	2	13	9	0	0	0	0	0	14	11	12	7	0	0	0	6	16	1	0	16	0	0	0	5	12	0	0	11	5	0	0	8	13	0	0	8	7	0	1	16	0	0	9	8	0	0	0	13	3	6	16	1	0	0	0	3	16	14	4	0	0
28	0	0	10	12	0	0	0	0	0	9	14	4	0	0	0	0	0	15	3	0	0	0	0	0	2	15	2	6	1	0	0	0	2	16	15	12	15	4	0	0	16	5	0	3	14	0	0	0	12	10	4	11	14	0	0	0	1	11	14	12	1	0
29	0	0	0	10	13	0	0	0	0	0	0	15	16	0	0	0	0	0	7	16	14	0	0	0	3	12	16	16	13	0	0	0	3	11	9	16	9	0	0	0	0	0	16	9	0	0	0	0	0	0	15	12	0	0	0	0	0	0	8	15	2	0
30	0	7	9	13	11	2	0	0	6	16	9	1	13	8	0	0	8	14	5	11	14	2	0	0	3	16	16	16	6	0	0	0	2	16	5	1	12	5	0	4	15	0	0	8	8	0	0	3	16	4	7	13	2	0	0	0	13	12	8	1	0	0
31	0	9	14	16	7	0	0	0	1	14	6	14	13	0	0	0	0	0	0	14	8	0	0	0	0	10	13	16	13	2	0	0	0	16	16	16	13	8	0	0	2	15	4	0	0	0	0	0	8	13	0	0	0	0	0	0	12	10	0	0	0	0
32	0	8	16	8	0	0	0	0	1	16	9	10	9	0	0	0	4	15	0	0	10	1	0	0	6	12	0	0	6	6	0	0	5	12	0	0	4	8	0	4	14	0	0	7	8	0	0	1	16	9	8	14	4	0	0	0	6	15	14	5	0	0
33	0	9	16	16	15	2	0	0	0	9	6	8	16	8	0	0	0	0	2	1	16	7	0	0	0	12	16	16	16	13	0	0	0	3	4	15	10	1	0	0	0	7	15	2	0	0	0	0	3	15	7	0	0	0	0	0	8	13	1	0	0	0
34	0	2	14	10	0	0	0	0	1	14	12	0	0	0	0	0	5	14	1	0	0	0	0	0	6	11	0	0	0	0	0	0	7	15	13	15	7	1	0	3	15	8	0	11	10	0	0	0	11	9	4	8	15	0	0	0	1	12	14	12	4	0
35	0	0	3	11	16	11	0	0	0	5	16	14	13	16	3	0	3	16	8	0	13	14	0	0	10	15	6	11	16	6	0	0	8	16	15	14	15	1	0	0	3	0	10	12	0	0	0	0	0	0	15	9	0	0	0	0	0	1	16	5	0	0
36	0	0	0	13	16	3	0	0	0	0	1	15	16	0	0	0	2	5	13	16	14	0	0	0	10	16	15	16	12	0	0	0	1	4	5	16	12	0	0	0	0	1	16	14	0	0	0	0	0	0	16	15	0	0	0	0	0	0	11	16	8	0
37	0	4	14	16	16	12	0	0	0	12	9	0	5	16	3	0	1	15	14	10	13	12	0	0	8	16	16	16	9	3	0	0	1	4	8	15	0	0	0	0	0	8	13	0	0	0	0	0	1	14	9	0	0	0	0	0	6	15	4	0	0	0
38	0	6	12	11	3	0	0	0	0	16	9	16	7	0	0	0	0	0	10	13	0	0	0	0	0	14	16	16	10	1	0	0	0	8	2	3	15	4	0	0	1	0	0	12	6	0	0	8	15	6	9	16	3	0	0	0	7	12	13	6	0	0
39	0	0	3	10	15	9	4	0	0	2	15	7	9	16	6	0	0	11	6	0	10	16	1	0	1	15	14	16	16	7	0	0	0	5	7	2	14	2	0	0	0	0	10	6	0	0	0	0	0	1	15	0	0	0	0	0	0	7	9	0	0	0
40	0	0	2	10	16	12	2	0	0	2	14	12	7	16	3	0	3	15	15	4	10	15	0	0	6	16	16	16	16	14	0	0	0	3	3	4	16	6	0	0	0	0	6	16	2	0	0	0	0	0	10	14	0	0	0	0	0	0	14	9	0	0
41	0	8	14	9	2	0	0	0	2	14	5	11	13	0	0	0	0	15	0	6	16	4	0	0	0	13	9	15	15	6	0	0	0	0	5	1	7	9	0	0	0	0	0	5	12	0	0	0	12	3	0	9	8	0	0	0	7	14	15	13	0	0
42	0	6	16	12	2	0	0	0	6	16	9	11	11	0	0	0	7	14	0	5	14	0	0	0	3	6	0	7	11	0	0	0	0	0	0	14	7	0	0	0	0	8	15	0	0	0	0	0	4	16	10	4	3	0	0	0	7	16	13	14	16	3
43	0	8	14	2	0	0	0	0	0	5	16	6	0	0	0	0	0	0	16	11	0	0	0	0	0	2	16	15	0	0	0	0	0	0	14	16	2	0	0	0	0	1	16	9	0	0	0	0	5	15	16	15	12	8	0	0	4	15	16	13	12	12
44	0	0	4	11	16	11	0	0	0	6	13	3	3	15	0	0	0	14	2	4	14	11	0	0	0	12	16	15	15	8	0	0	0	0	2	0	14	2	0	0	0	0	4	11	0	0	0	0	0	0	14	4	0	0	0	0	0	3	10	0	0	0
45	0	0	0	9	15	12	0	0	0	2	14	9	6	16	1	0	0	12	4	1	12	11	0	0	4	15	7	13	16	3	0	0	2	12	11	1	15	0	0	0	0	0	5	11	0	0	0	0	0	0	8	8	0	0	0	0	0	0	9	7	0	0
46	0	2	13	5	0	0	0	0	0	11	15	0	0	0	0	0	1	16	2	0	0	0	0	0	2	16	8	6	2	0	0	0	5	16	9	10	15	2	0	0	16	4	0	9	8	0	0	0	11	10	3	16	6	0	0	0	4	15	12	9	1	0
47	0	0	1	10	16	4	0	0	0	1	13	16	16	3	0	0	0	11	15	9	16	3	0	0	11	16	9	14	13	0	0	0	10	16	16	16	16	9	0	1	4	4	16	9	2	0	0	0	0	0	14	5	0	0	0	0	0	0	13	9	0	0
48	0	4	13	16	8	0	0	0	6	16	9	11	12	0	0	0	9	11	4	16	6	0	0	0	0	8	15	16	12	1	0	0	0	2	6	1	13	8	0	0	9	1	0	9	8	0	0	0	13	8	9	15	4	0	0	0	6	14	12	5	0	0
49	1	14	14	4	0	0	0	0	10	15	15	15	0	0	0	0	14	10	4	16	3	0	0	0	2	1	9	16	0	0	0	0	0	0	13	13	0	0	0	0	3	16	5	0	0	0	0	0	13	16	13	5	4	0	0	2	15	14	16	16	16	5
50	2	7	14	11	1	0	0	0	8	15	3	7	8	0	0	0	10	10	1	12	8	0	0	0	4	16	16	15	6	0	0	0	2	16	6	0	11	7	0	1	16	0	0	4	13	0	0	0	16	2	5	14	4	0	0	0	7	16	14	6	0	0
51	1	14	15	5	0	0	0	0	3	16	15	15	3	0	0	0	3	16	9	16	5	0	0	0	0	5	6	16	4	0	0	0	0	0	8	15	1	0	0	0	0	14	11	0	0	0	0	0	9	16	14	8	7	0	0	0	15	16	16	16	16	6
52	0	1	8	14	14	6	0	0	0	3	11	7	12	14	0	0	0	0	0	0	9	11	0	0	1	12	12	12	15	8	0	0	0	7	8	14	13	1	0	0	0	4	15	2	0	0	0	0	0	13	6	0	0	0	0	0	1	14	2	0	0	0
53	0	0	1	15	9	1	0	0	0	0	5	16	16	0	0	0	0	0	13	16	11	0	0	0	2	8	16	16	11	0	0	0	5	12	13	16	8	0	0	0	0	5	16	7	0	0	0	0	0	7	16	4	0	0	0	0	0	3	16	15	1	0
54	0	0	4	15	6	0	0	0	0	3	15	9	4	14	0	0	2	15	9	0	11	10	0	0	7	16	10	12	16	14	0	0	3	14	13	15	14	2	0	0	0	0	12	10	0	0	0	0	0	2	16	6	0	0	0	0	0	6	13	1	0	0
55	0	2	13	6	0	0	0	0	0	10	14	6	0	0	0	0	0	15	6	0	0	0	0	0	0	16	3	0	0	0	0	0	0	14	16	16	12	1	0	2	16	13	3	9	10	0	0	0	8	14	4	13	13	0	0	0	2	12	14	12	4	0
56	0	11	16	6	0	0	0	0	2	16	14	14	1	0	0	0	6	16	2	15	6	0	0	0	2	11	0	15	5	0	0	0	0	0	0	16	5	0	0	0	0	4	16	2	0	0	0	0	6	15	15	8	8	3	0	0	12	16	15	16	16	6
57	0	7	14	6	0	0	0	0	5	16	9	13	3	0	0	0	8	12	0	5	12	0	0	0	4	12	0	0	11	6	0	0	6	12	0	0	9	7	0	1	15	0	1	15	5	0	0	0	13	7	13	11	0	0	0	0	4	15	11	0	0	0
58	0	0	0	8	12	5	0	0	0	0	10	11	11	9	0	0	0	11	10	0	16	1	0	0	6	16	13	12	15	4	0	0	2	8	8	12	14	4	0	0	0	0	12	4	0	0	0	0	0	0	13	1	0	0	0	0	0	0	11	0	0	0
59	0	1	12	11	0	0	0	0	0	8	14	3	0	0	0	0	1	14	5	0	0	0	0	0	1	16	9	4	0	0	0	0	3	16	13	12	12	3	0	1	16	3	0	1	15	0	0	0	9	9	2	9	15	2	0	0	2	14	15	12	3	0
60	2	11	15	16	8	0	0	0	4	9	1	5	16	4	0	0	0	0	5	13	13	0	0	0	0	4	16	16	5	0	0	0	0	0	2	7	14	2	0	0	2	0	0	11	7	0	0	6	10	1	8	14	2	0	0	3	14	15	11	3	0	0
61	0	5	12	14	16	5	0	0	6	16	15	10	16	6	0	0	0	3	0	3	16	2	0	0	0	1	4	14	13	2	0	0	7	16	16	16	16	11	0	4	9	14	12	1	1	0	0	0	0	16	8	0	0	0	0	0	4	16	5	0	0	0
62	0	0	0	13	5	0	0	0	0	0	3	16	13	0	0	0	0	0	10	16	12	0	0	0	6	16	16	16	8	0	0	0	4	8	6	16	5	0	0	0	0	4	16	4	0	0	0	0	0	4	16	8	0	0	0	0	0	0	12	13	5	0
63	0	10	8	11	2	0	0	0	0	16	15	8	13	2	0	0	4	16	4	0	9	7	0	0	7	14	0	0	3	8	0	0	8	12	0	0	7	8	0	6	6	0	3	15	4	0	0	4	14	10	16	7	0	0	0	0	10	14	5	0	0	0
64	1	9	13	9	0	0	0	0	3	16	10	11	11	0	0	0	1	9	0	2	15	0	0	0	0	0	0	4	15	0	0	0	0	0	1	11	8	0	0	0	0	10	15	1	0	0	0	0	6	16	16	13	9	0	0	0	11	12	8	8	8	1
65	3	12	16	10	0	0	0	0	8	16	10	16	6	0	0	0	2	9	0	12	8	0	0	0	0	0	0	15	9	0	0	0	0	0	9	14	1	0	0	0	4	16	9	0	0	0	0	1	14	16	13	12	9	1	0	4	16	16	13	15	16	3
66	0	10	16	16	16	4	0	0	2	14	8	1	1	0	0	0	7	15	12	12	7	0	0	0	3	9	7	5	16	6	0	0	0	0	0	0	5	8	0	0	0	0	0	13	7	0	0	0	11	4	13	12	0	0	0	0	9	13	9	0	0	0
67	0	8	15	5	0	0	0	0	4	15	12	16	0	0	0	0	10	9	0	12	4	0	0	0	3	1	0	13	3	0	0	0	0	0	1	16	0	0	0	0	0	6	11	0	0	0	0	0	5	16	16	16	15	0	0	0	9	10	4	6	9	0
68	0	0	0	11	2	0	0	0	0	0	8	12	0	0	0	0	0	2	15	4	4	8	0	0	1	13	8	0	10	10	0	0	9	16	8	9	16	7	0	6	12	12	13	14	1	0	0	0	0	0	14	8	0	0	0	0	0	3	16	4	0	0
69	0	5	12	16	12	0	0	0	2	16	10	8	16	4	0	0	7	16	8	2	16	4	0	0	0	5	15	16	10	0	0	0	0	0	12	16	8	0	0	0	6	12	5	16	4	0	0	0	8	12	6	16	6	0	0	0	5	15	15	9	0	0
70	0	0	6	14	11	1	0	0	0	2	14	16	16	2	0	0	0	11	16	16	16	0	0	0	5	15	16	16	16	4	0	0	1	5	7	16	16	2	0	0	0	3	16	16	3	0	0	0	0	4	16	16	4	0	0	0	0	4	15	15	4	0
71	0	5	10	16	15	6	0	0	0	12	9	8	15	12	0	0	0	0	0	1	16	5	0	0	2	15	12	13	15	2	0	0	2	11	11	15	10	5	0	0	0	11	7	0	0	0	0	0	4	16	1	0	0	0	0	0	9	12	0	0	0	0
72	0	10	13	15	12	5	0	0	0	9	5	5	13	7	0	0	0	0	1	11	13	0	0	0	0	5	16	16	3	0	0	0	0	2	10	12	15	7	0	0	0	0	1	16	4	0	0	0	2	8	13	12	1	0	0	0	10	15	7	0	0	0
73	0	2	12	11	2	0	0	0	1	15	12	9	13	0	0	0	6	13	1	0	14	2	0	0	6	12	0	0	8	8	0	0	8	12	0	0	7	8	0	5	15	0	0	7	9	0	0	0	13	9	8	15	4	0	0	0	3	13	16	8	0	0
74	0	5	13	14	5	0	0	0	5	16	12	12	16	0	0	0	1	3	0	11	14	0	0	0	0	0	9	16	4	0	0	0	0	2	16	16	9	1	0	0	0	3	5	16	7	0	0	0	2	4	9	16	5	0	0	0	5	13	14	6	0	0
75	0	6	9	13	11	0	0	0	10	14	8	9	16	4	0	0	0	0	0	1	15	6	0	0	0	0	3	14	14	1	0	0	0	7	16	16	16	4	0	0	1	1	0	12	9	0	0	0	1	2	5	14	10	0	0	0	7	16	13	10	1	0
76	0	7	11	16	7	0	0	0	1	12	12	13	16	0	0	0	0	0	0	6	16	0	0	0	4	13	10	15	13	2	0	0	1	8	14	16	12	4	0	0	2	15	7	0	0	0	0	0	9	15	0	0	0	0	0	0	12	7	0	0	0	0
77	1	9	15	16	8	0	0	0	7	16	12	16	8	0	0	0	0	2	0	16	8	0	0	0	1	8	12	16	10	1	0	0	4	16	16	16	16	11	0	0	12	16	3	4	2	0	0	0	9	16	0	0	0	0	0	0	14	11	0	0	0	0
78	0	1	9	13	11	3	0	0	0	13	12	8	10	12	0	0	5	13	1	8	15	10	0	0	6	16	16	15	16	6	0	0	0	5	5	5	14	0	0	0	0	1	12	7	0	0	0	0	0	8	15	0	0	0	0	0	0	15	7	0	0	0
79	0	0	4	13	12	2	0	0	0	1	15	16	16	3	0	0	0	7	16	16	16	2	0	0	1	14	16	16	16	3	0	0	7	16	16	16	16	0	0	0	0	11	16	13	0	0	0	0	0	8	16	15	3	0	0	0	0	6	16	12	2	0
80	0	6	13	15	4	0	0	0	5	16	9	8	12	0	0	0	4	4	0	10	10	0	0	0	0	1	10	16	10	1	0	0	0	3	11	8	15	8	0	0	0	0	0	11	7	0	0	0	4	4	8	15	1	0	0	0	4	15	15	1	0	0
81	0	7	13	16	9	0	0	0	0	11	8	9	16	5	0	0	0	0	0	7	15	0	0	0	0	0	13	16	5	0	0	0	0	0	10	12	16	3	0	0	0	0	3	16	2	0	0	0	2	7	14	7	0	0	0	0	10	10	2	0	0	0
82	0	0	2	14	2	0	0	0	0	0	11	13	0	0	0	0	0	8	15	3	2	10	0	0	2	16	9	0	12	15	0	0	13	16	9	12	16	9	0	12	16	16	16	16	2	0	0	0	4	3	14	14	0	0	0	0	0	0	15	13	0	0
83	3	9	14	16	13	1	0	0	7	13	9	10	16	4	0	0	0	1	1	12	12	1	0	0	0	0	14	16	4	0	0	0	0	0	8	14	16	2	0	0	0	0	3	16	8	0	0	0	3	9	15	12	1	0	0	2	16	13	7	0	0	0
84	0	0	4	16	4	0	0	0	0	0	14	14	2	0	0	0	0	7	16	5	1	3	0	0	4	16	11	1	13	11	0	0	13	16	13	13	16	8	0	9	16	16	16	16	4	0	0	0	0	4	16	7	0	0	0	0	0	5	16	9	0	0
85	0	12	16	7	0	0	0	0	1	16	9	15	2	0	0	0	0	3	0	12	4	0	0	0	0	0	0	13	4	0	0	0	0	0	7	15	1	0	0	1	11	16	7	0	0	0	0	7	16	16	11	6	2	0	0	1	8	11	12	13	7	0
86	0	6	13	16	10	1	0	0	0	15	7	5	13	7	0	0	7	15	1	1	14	6	0	0	1	12	13	14	9	0	0	0	0	0	15	16	3	0	0	0	7	13	8	15	0	0	0	0	12	8	7	16	1	0	0	0	5	16	16	5	0	0
87	0	4	12	16	15	5	0	0	0	13	16	16	16	7	0	0	4	16	13	14	11	0	0	0	6	16	16	14	1	0	0	0	0	9	16	12	1	0	0	0	12	12	15	7	0	0	0	0	13	10	13	12	0	0	0	0	3	15	13	4	0	0
88	0	3	12	13	10	1	0	0	2	13	9	7	14	8	0	0	8	12	0	0	13	8	0	0	4	15	13	14	16	1	0	0	0	1	4	14	9	0	0	0	0	6	14	1	0	0	0	0	2	16	5	0	0	0	0	0	2	16	1	0	0	0
89	0	1	11	12	4	0	0	0	1	11	12	9	15	5	0	0	7	16	4	3	15	7	0	0	3	15	13	15	11	0	0	0	0	3	16	13	14	0	0	0	8	9	0	14	7	0	0	0	11	9	9	15	6	0	0	0	2	12	14	8	0	0
90	0	0	4	13	0	0	0	0	0	0	15	8	2	5	0	0	0	11	9	0	12	8	0	0	4	14	1	0	14	5	0	0	8	14	6	7	16	6	0	2	11	13	15	13	2	0	0	0	0	1	15	3	0	0	0	0	0	4	14	0	0	0
91	0	12	15	15	12	1	0	0	0	3	4	5	15	7	0	0	0	0	0	5	14	0	0	0	1	11	12	14	11	0	0	0	0	4	11	16	16	7	0	0	0	13	7	0	0	0	0	0	4	14	1	0	0	0	0	0	12	5	0	0	0	0
92	0	2	10	12	4	0	0	0	0	10	16	16	16	0	0	0	0	13	16	16	12	0	0	0	0	12	16	16	12	0	0	0	0	12	16	16	12	0	0	0	12	16	16	13	0	0	0	0	8	16	16	15	0	0	0	0	4	10	8	3	0	0
93	0	0	10	8	0	0	0	0	0	3	16	7	0	0	0	0	0	10	9	0	0	0	0	0	0	14	9	7	3	0	0	0	1	16	16	14	16	5	0	1	15	10	0	3	14	1	0	0	8	12	5	5	15	4	0	0	1	9	15	16	11	0
94	0	1	10	16	7	0	0	0	1	14	14	12	16	4	0	0	6	16	2	1	16	4	0	0	6	16	11	13	16	2	0	0	0	11	12	16	11	0	0	0	0	3	16	5	0	0	0	0	0	11	14	0	0	0	0	0	0	13	11	0	0	0
95	0	0	0	10	0	0	0	0	0	0	6	13	0	0	0	0	0	1	13	5	2	2	0	0	0	11	9	0	14	7	0	0	5	16	1	8	16	2	0	3	16	14	16	15	5	0	0	0	0	0	16	8	0	0	0	0	0	0	15	8	0	0
96	0	0	8	12	2	0	0	0	0	9	15	8	12	0	0	0	5	16	3	0	12	2	0	0	5	13	0	0	5	7	0	0	8	10	0	0	4	8	0	0	16	0	0	3	12	0	0	0	11	9	4	14	6	0	0	0	0	10	13	9	1	0
97	0	0	3	15	11	4	0	0	0	0	13	16	15	0	0	0	0	7	16	16	12	0	0	0	6	16	16	16	12	0	0	0	5	10	5	16	13	0	0	0	0	4	16	16	2	0	0	0	0	6	16	16	2	0	0	0	0	3	13	12	1	0
98	1	8	13	16	13	0	0	0	5	14	7	8	15	0	0	0	0	0	2	13	8	0	0	0	0	0	13	16	13	1	0	0	0	0	2	5	14	7	0	0	0	0	0	13	7	0	0	0	2	6	12	13	1	0	0	0	7	13	7	1	0	0
99	0	0	7	13	4	0	0	0	0	8	15	7	2	0	0	0	2	15	5	0	0	0	0	0	5	15	0	0	0	0	0	0	5	16	16	15	12	4	0	2	15	11	4	10	12	0	0	0	7	13	5	12	13	0	0	0	1	8	13	12	3	0
100	0	2	14	3	0	0	0	0	0	13	16	12	0	0	0	0	8	12	2	12	0	0	0	0	6	8	0	12	0	0	0	0	0	0	0	15	0	0	0	0	1	5	15	0	0	0	0	0	7	16	16	14	9	0	0	0	2	12	12	12	11	0
101	0	0	2	13	1	0	0	0	0	1	15	11	0	0	0	0	0	8	15	2	2	0	0	0	1	16	7	3	16	3	0	0	7	16	10	10	16	4	0	5	12	13	16	15	2	0	0	0	0	1	14	10	0	0	0	0	0	0	15	11	0	0
102	0	11	16	16	16	3	0	0	1	12	12	13	16	5	0	0	0	0	0	7	16	2	0	0	0	5	13	16	15	1	0	0	0	12	16	16	16	10	0	0	1	13	10	4	1	0	0	0	8	16	2	0	0	0	0	0	15	11	0	0	0	0
103	0	0	7	15	1	0	0	0	0	2	14	11	0	0	0	0	0	8	16	4	1	7	0	0	5	16	9	0	12	15	0	0	11	16	14	12	16	9	0	6	12	12	16	16	1	0	0	0	0	5	16	8	0	0	0	0	0	10	12	0	0	0
104	0	2	13	9	0	0	0	0	2	16	15	14	6	0	0	0	8	16	5	3	15	0	0	0	7	16	1	0	11	7	0	0	6	12	0	0	8	8	0	0	16	2	0	7	10	0	0	0	12	12	7	15	5	0	0	0	0	13	16	9	0	0
105	2	14	16	14	2	0	0	0	9	15	9	16	8	0	0	0	1	3	1	16	6	0	0	0	0	0	5	16	3	0	0	0	0	0	13	13	0	0	0	0	7	16	3	0	0	0	0	2	15	16	10	12	6	0	0	4	16	16	16	16	11	0
106	0	8	15	16	14	5	0	0	5	16	4	6	16	8	0	0	7	16	4	9	15	3	0	0	0	12	16	16	3	0	0	0	0	3	15	16	9	0	0	0	13	6	6	16	4	0	0	0	16	8	8	16	6	0	0	0	11	16	13	8	0	0
107	4	14	14	16	16	4	0	0	5	16	11	5	4	0	0	0	4	16	4	0	0	0	0	0	6	16	16	16	11	0	0	0	4	11	6	7	16	4	0	0	0	0	4	16	4	0	0	0	1	7	15	12	0	0	0	4	16	12	5	0	0	0
108	0	0	9	15	10	1	0	0	0	4	15	16	16	4	0	0	4	15	16	16	16	4	0	0	8	15	10	16	16	8	0	0	0	0	0	16	16	7	0	0	0	1	16	16	6	0	0	0	0	7	16	16	4	0	0	0	0	6	12	12	1	0
